0.01: (1.0970485701727095, 0.0007022489168308884, 3.4990646701503586e-06)
0.014: (1.10027689651757, 0.0013829034390930202, 6.8581667534947035e-06)
0.018: (1.1028439299274069, 0.002286870103614128, 1.1336969531287157e-05)
0.022: (1.105044788753273, 0.0034166969587140343, 1.693547300352774e-05)
0.026: (1.1069537975517199, 0.004777106296009214, 2.365367717021642e-05)
0.03: (1.1083821282431292, 0.006362427749297032, 3.149158203135322e-05)
0.034: (1.109627103415107, 0.008193534549855719, 4.0449187586938135e-05)
0.038: (1.1102387163120209, 0.0102409186217189, 5.052649383697117e-05)
0.042: (1.1101600175054478, 0.012484279819841414, 6.172350078145234e-05)
0.046: (1.109841362631321, 0.01497066495175543, 7.404020842038157e-05)
