0.001: (1.0887904061216265, 0.0010517275144462952, 2.0599835485754447e-07)

0.005: (1.0954342392970837, 0.004620545034986941, 5.149958871438611e-06)

0.009: (1.1011881631997489, 0.00709605438206838, 1.6685866743461095e-05)

0.013: (1.1075449376988489, 0.008538017901972894, 3.4813721970925007e-05)

0.017: (1.1133073329613292, 0.008879313048570085, 5.953352455383036e-05)

0.021: (1.118872197554296, 0.008134729500212079, 9.08452744921771e-05)

0.025: (1.1244207609399106, 0.006326309936186798, 0.0001287489717859653)

0.029: (1.1300558502857263, 0.00348214420755263, 0.00017324461643519485)

0.033: (1.1353646116655727, -0.0004699180431387123, 0.00022433220843986592)
0.037: (1.1404364104738804, -0.0055278203634178185, 0.0002820117477999783)

0.041: (1.1457111789927186, -0.011577826274264019, 0.00034628323451553223)

0.045: (1.150628181525638, -0.018769783885457882, 0.0004171466685865274)

0.049: (1.1554372512172133, -0.027041246951712897, 0.0004946020500129644)
